customer_id,customer_type,region,product_tier,lifetime_value,churn,support_tickets,retention_days
1,Startup,North America,Basic,2880.39,0.1484,2.0,278
2,SMB,Europe,Standard,9672.27,0.106,2.0,375
3,Individual,North America,Basic,273.67,0.1489,1.0,304
4,Startup,North America,Basic,2692.56,0.0975,1.0,276
5,SMB,Europe,Premium,12783.42,0.0927,8.0,467
6,Individual,North America,Basic,450.91,0.1654,4.0,170
7,Startup,Latin America,Standard,1901.57,0.0655,4.0,274
8,Startup,North America,Premium,5142.52,0.1068,2.0,317
9,SMB,Asia Pacific,Standard,7021.75,0.1197,7.0,279
10,Startup,Europe,Basic,2147.12,0.1351,8.0,293
11,SMB,Europe,Premium,13450.65,0.1176,7.0,276
12,Individual,Europe,Standard,752.06,0.1337,3.0,93
13,Startup,Europe,Premium,6451.45,0.1372,2.0,256
14,Individual,Latin America,Standard,532.53,0.119,0.0,52
15,SMB,North America,Standard,4871.96,0.1744,5.0,394
16,SMB,North America,Standard,9466.91,0.1156,4.0,443
17,Startup,Europe,Standard,4042.9,0.0757,4.0,160
18,SMB,Asia Pacific,Premium,8084.32,0.1499,4.0,358
19,Individual,North America,Basic,507.62,0.1186,2.0,179
20,Startup,Europe,Standard,3231.85,0.115,5.0,285
21,Startup,Asia Pacific,Basic,1025.72,0.0594,5.0,167
22,SMB,Asia Pacific,Premium,9944.13,0.1703,5.0,393
23,Individual,Latin America,Premium,574.01,0.1725,3.0,99
24,Individual,Europe,Standard,399.57,0.2267,3.0,193
25,Startup,Europe,Standard,1429.99,0.0526,2.0,272
26,SMB,North America,Standard,8090.53,0.1219,8.0,407
27,Startup,Latin America,Basic,1354.65,0.0996,5.0,275
28,Enterprise,North America,Standard,149541.85,0.0193,18.0,1051
29,SMB,Asia Pacific,Standard,10146.48,0.157,6.0,533
30,Startup,Europe,Standard,3524.01,0.0646,3.0,255
31,Startup,Europe,Premium,3731.6,0.0935,3.0,189
32,Individual,Asia Pacific,Standard,746.84,0.2238,4.0,215
33,SMB,Europe,Standard,7030.87,0.1083,13.0,217
34,SMB,Latin America,Standard,5108.89,0.1138,4.0,496
35,Startup,Europe,Premium,3021.03,0.055,3.0,308
36,SMB,Europe,Basic,5208.2,0.1384,7.0,220
37,SMB,North America,Basic,4981.67,0.1056,6.0,520
38,Startup,Europe,Premium,4086.25,0.0952,1.0,307
39,SMB,Europe,Basic,6497.88,0.1626,7.0,379
40,Startup,North America,Basic,3184.65,0.0613,3.0,115
41,SMB,North America,Standard,13681.9,0.1313,5.0,449
42,Individual,Europe,Basic,535.68,0.2346,5.0,162
43,Startup,Europe,Basic,1927.96,0.1022,0.0,254
44,SMB,Europe,Basic,6641.58,0.1686,6.0,358
45,Individual,North America,Basic,348.87,0.1527,1.0,64
46,Individual,North America,Premium,650.42,0.151,2.0,149
47,SMB,North America,Standard,11460.55,0.1671,9.0,328
48,SMB,Asia Pacific,Standard,8222.08,0.1015,12.0,471
49,Startup,Asia Pacific,Premium,3898.47,0.073,3.0,230
50,SMB,North America,Standard,8741.93,0.1145,10.0,291
51,SMB,Europe,Basic,4053.66,0.1192,9.0,513
52,Enterprise,North America,Premium,192773.44,0.028,14.0,853
53,Startup,North America,Standard,4002.72,0.1179,3.0,258
