customer_type,month,order_count,monthly_revenue,avg_order_value,unique_customers,revenue_per_customer
Enterprise,2026-08-01,25,28950.5,851.49,12,2412.54
SMB,2026-08-01,53,13887.69,180.36,32,433.99
Enterprise,2026-07-01,25,38102.66,886.11,13,2930.97
SMB,2026-07-01,52,15343.01,174.35,32,479.47
Enterprise,2026-06-01,21,28023.079999999998,849.18,11,2547.55
SMB,2026-06-01,41,11734.52,177.8,24,488.94
Enterprise,2026-05-01,28,40108.4,891.3,16,2506.78
SMB,2026-05-01,43,11469.52,173.78,28,409.63
Enterprise,2026-04-01,25,31041.88,838.97,15,2069.46
SMB,2026-04-01,60,18477.82,182.95,32,577.43
Enterprise,2026-03-01,26,32155.420000000002,824.5,14,2296.82
SMB,2026-03-01,71,19379.48,179.44,36,538.32
Enterprise,2026-02-01,24,29569.16,844.83,14,2112.08
SMB,2026-02-01,41,12150.42,166.44,27,450.02
Enterprise,2026-01-01,23,28872.99,759.82,12,2406.08
SMB,2026-01-01,52,13694.04,167.0,32,427.94
Enterprise,2025-12-01,21,31800.34,859.47,8,3975.04
SMB,2025-12-01,61,16600.64,176.6,31,535.5
Enterprise,2025-11-01,13,14758.64,819.92,11,1341.69
SMB,2025-11-01,41,12446.56,188.58,23,541.15
Enterprise,2025-10-01,28,38701.53,900.04,13,2977.04
SMB,2025-10-01,49,15346.19,191.83,28,548.08
Enterprise,2025-09-01,33,41467.22,863.9,16,2591.7
SMB,2025-09-01,46,13952.31,183.58,31,450.07
Enterprise,2025-08-01,20,24000.36,827.6,11,2181.85
SMB,2025-08-01,65,18754.81,176.93,33,568.33
